time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="codebuild:ListProjects" cache=hit region=ap-northeast-2
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="codecommit:ListRepositories" cache=miss region=eu-central-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="codecommit:ListRepositories" cache=miss region=ap-northeast-2
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="codedeploy:ListApplications" cache=miss region=eu-central-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="codedeploy:ListDeployments" cache=miss region=eu-central-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=privesc-sre-user
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="codedeploy:ListApplications" cache=miss region=ap-northeast-2
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="codedeploy:ListDeployments" cache=miss region=ap-northeast-2
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=privesc-ssmSendCommand-user
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="dynamodb:ListTables" cache=miss region=eu-central-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeImages" cache=miss region=eu-central-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeInstances" cache=miss region=eu-central-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeSnapshots" cache=miss region=eu-central-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="dynamodb:ListTables" cache=miss region=ap-northeast-2
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeVolumes" cache=miss region=eu-central-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ecs:ListClusters" cache=miss region=eu-central-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ecs:ListClusters" cache=miss region=eu-central-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=privesc-ssmStartSession-user
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=privesc1-CreateNewPolicyVersion-user
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=privesc10-PutUserPolicy-user
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=privesc11-PutGroupPolicy-user
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ecs:ListClusters" cache=miss region=eu-central-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeImages" cache=miss region=ap-northeast-2
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeInstances" cache=miss region=ap-northeast-2
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeSnapshots" cache=miss region=ap-northeast-2
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeVolumes" cache=miss region=ap-northeast-2
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="ecr:DescribeRepositories" cache=miss region=eu-central-1
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="ecs:ListClusters" cache=miss region=ap-northeast-2
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="athena:ListDatabases" cache=miss catalogName=AwsDataCatalog region=eu-central-1
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="ecs:ListClusters" cache=miss region=ap-northeast-2
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="ecs:ListClusters" cache=miss region=ap-northeast-2
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=privesc12-PutRolePolicy-user
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="eks:ListClusters" cache=miss region=eu-central-1
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="eks:ListClusters" cache=miss region=eu-central-1
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="elbv2:DescribeLoadBalancers" cache=miss region=eu-central-1
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="elb:DescribeLoadBalancers" cache=miss region=eu-central-1
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=privesc13-AddUserToGroup-user
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="ecr:DescribeRepositories" cache=miss region=ap-northeast-2
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="athena:ListDatabases" cache=miss catalogName=AwsDataCatalog region=ap-northeast-2
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="elasticache:DescribeCacheClusters" cache=miss region=eu-central-1
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="eks:ListClusters" cache=miss region=ap-northeast-2
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="eks:ListClusters" cache=miss region=ap-northeast-2
time="2026-08-30T19:17:07-06:00" level=info msg="AWS API call" account=000000000000 api="elasticbeanstalk:DescribeApplications" cache=miss region=eu-central-1
